Date,Open,High,Low,Close,Adj Close,Volume,Day
2013-10-24,25.49,25.49,24.98,25.059999,22.634935,17700,0
2013-10-25,25.280001,25.290001,25.059999,25.129999,22.698158,41700,1
2013-10-28,25.16,25.190001,25.049999,25.15,22.716217,50600,2
2013-10-29,25.43,25.43,25.15,25.27,22.824606,44800,3
2013-10-30,25.42,25.42,25.1,25.15,22.716217,186500,4
2013-10-31,25.1,25.59,25.059999,25.200001,22.761377,14400,5
2013-11-01,25.26,25.26,25.02,25.139999,22.70719,20600,6
2013-11-04,25.24,25.24,25.110001,25.209999,22.770409,44100,7
2013-11-05,25.18,25.280001,25.1,25.23,22.788483,32500,8
2013-11-06,25.49,25.49,25.299999,25.4,22.942026,96600,9
2013-11-07,25.469999,25.49,25.059999,25.07,22.643965,49000,10
2013-11-08,25.209999,25.33,25.09,25.33,22.878803,13700,11
2013-11-11,25.370001,25.4,25.25,25.370001,22.914934,67400,12
2013-11-12,25.35,25.5,25.309999,25.459999,22.996218,220600,13
2013-11-13,25.4,25.719999,25.379999,25.719999,23.23106,21200,14
2013-11-14,25.66,25.66,25.52,25.639999,23.158806,24400,15
2013-11-15,25.73,25.74,25.629999,25.74,23.24913,27900,16
2013-11-18,25.809999,25.809999,25.49,25.5,23.032347,56200,17
2013-11-19,25.58,25.58,25.389999,25.389999,22.932991,24400,18
2013-11-20,25.530001,25.549999,25.32,25.370001,22.914934,27800,19
2013-11-21,25.5,25.610001,25.440001,25.610001,23.131712,43100,20
2013-11-22,25.67,25.67,25.549999,25.57,23.095587,27100,21
2013-11-25,25.690001,25.690001,25.469999,25.530001,23.05945,42600,22
2013-11-26,25.6,25.74,25.540001,25.68,23.194931,36900,23
2013-11-27,25.780001,25.9,25.74,25.9,23.393639,29300,24
2013-11-29,26.01,26.08,25.98,25.99,23.474924,43500,25
2013-12-02,26.07,26.07,25.860001,25.870001,23.366547,43700,26
2013-12-03,25.860001,25.98,25.83,25.92,23.411705,34800,27
2013-12-04,25.92,26.059999,25.84,26,23.483967,60400,28
2013-12-05,26.129999,26.129999,25.959999,26,23.483967,25500,29
2013-12-06,26.18,26.209999,26.08,26.16,23.628485,47200,30
2013-12-09,26.299999,26.299999,26.200001,26.23,23.691702,63200,31
2013-12-10,26.23,26.25,26.15,26.219999,23.682671,41500,32
2013-12-11,26.280001,26.280001,25.9,25.92,23.411705,57900,33
2013-12-12,25.98,25.98,25.799999,25.799999,23.303316,32600,34
2013-12-13,25.82,25.9,25.77,25.82,23.32139,27300,35
2013-12-16,25.940001,26.08,25.889999,26.040001,23.520092,79800,36
2013-12-17,26.1,26.129999,26.02,26.08,23.556219,39100,37
2013-12-18,26.1,26.27,25.75,26.27,23.727835,83500,38
2013-12-19,26.290001,26.32,26.200001,26.299999,23.754932,57600,39
2013-12-20,26.34,26.610001,26.309999,26.610001,24.0798,66500,40
2013-12-23,26.780001,27.23,26.700001,26.870001,24.315083,106700,41
2013-12-24,26.93,26.940001,26.870001,26.91,24.351274,38100,42
2013-12-26,27.02,27.02,26.950001,26.99,24.423666,73800,43
2013-12-27,27.139999,27.139999,26.940001,26.940001,24.378422,59400,44
2013-12-30,26.959999,26.959999,26.83,26.92,24.360321,67600,45
2013-12-31,27.01,27.110001,26.940001,27.09,24.51416,73700,46
2014-01-02,27.049999,27.049999,26.77,26.82,24.269831,62900,47
2014-01-03,26.92,26.92,26.690001,26.76,24.21553,71300,48
2014-01-06,26.809999,26.809999,26.610001,26.690001,24.152195,86600,49
2014-01-07,26.84,26.969999,26.75,26.93,24.369373,60500,50
2014-01-08,26.959999,27.01,26.9,26.959999,24.396523,72700,51
2014-01-09,27.09,27.09,26.76,26.84,24.287928,76500,52
2014-01-10,26.950001,26.969999,26.76,26.9,24.34222,41900,53
2014-01-13,26.92,27,26.5,26.57,24.043598,132800,54
2014-01-14,26.68,27.120001,26.68,27.09,24.51416,63500,55
2014-01-15,27.24,27.450001,27.15,27.4,24.794682,119100,56
2014-01-16,27.49,27.49,27.35,27.41,24.803732,241300,57
2014-01-17,27.389999,27.389999,27.200001,27.24,24.649893,140900,58
2014-01-21,27.440001,27.440001,27.200001,27.35,24.749439,76000,59
2014-01-22,27.389999,27.42,27.32,27.42,24.812788,54400,60
2014-01-23,27.370001,27.370001,27.120001,27.27,24.677048,78300,61
2014-01-24,27.24,27.24,26.700001,26.709999,24.17029,113400,62
2014-01-27,26.790001,26.790001,26.25,26.41,23.898817,96300,63
2014-01-28,26.23,26.33,26.1,26.299999,23.799276,88900,64
2014-01-29,26.219999,26.26,26.01,26.059999,23.582098,68700,65
2014-01-30,26.6,26.6,26.299999,26.5,23.980261,58400,66
